   Permno    date           rtn
   14593    20060628      -0.024552
   14593    20060629       0.052660
   14593    20060630      -0.028828
   14593    20060703       0.011874
   14593    20060705      -0.016368
   14593    20060706      -0.021605
   14593    20060707      -0.006634
   14593    20060710      -0.007220
   14593    20060711       0.011818
   14593    20060712      -0.048338
   14593    20060713      -0.013406
   14593    20060714      -0.030239
   14593    20060717       0.033550
   14593    20060718       0.010120
   14593    20060719       0.022684
   14593    20060720       0.118299
   14593    20060721       0.003636
   14593    20060724       0.011528
   14593    20060725       0.008271
   14593    20060726       0.031359
   14593    20060727      -0.007359
   14593    20060728       0.034543
   14593    20060731       0.036134
   14593    20060801      -0.011477
   14593    20060802       0.014588
   14593    20060803       0.020980
   14593    20060804      -0.018537
   14593    20060807      -0.015959
   14593    20060808      -0.036155
   14593    20060809      -0.018370
   14593    20060810       0.007548
   14593    20060811      -0.006555
   14593    20060814       0.004556
   14593    20060815       0.039256
   14593    20060816       0.023025
   14593    20060817      -0.005737
   14593    20060818       0.004735
   14593    20060821      -0.019879
   14593    20060822       0.015926
   14593    20060823      -0.004585
   14593    20060824       0.007428
   14593    20060825       0.013862
   14593    20060828      -0.025745
   14593    20060829      -0.007465
   14593    20060830       0.007220
   14593    20060831       0.013292
   14593    20060901       0.007811
   14593    20060905       0.045335
   14593    20060906      -0.020285
   14593    20060907       0.039555
   14593    20060908      -0.003846
   14593    20060911      -0.000276
   14593    20060912       0.001793
   14593    20060913       0.021616
   14593    20060914      -0.000404
   14593    20060915      -0.000944
   14593    20060918      -0.002834
   14593    20060919      -0.001624
   14593    20060920       0.020198
   14593    20060921      -0.008105
   14593    20060922      -0.022103
   14593    20060925       0.037671
   14593    20060926       0.024554
   14593    20060927      -0.015462
   14593    20060928       0.007852
   14593    20060929      -0.000390
   14593    20061002      -0.027540
   14593    20061003      -0.010419
   14593    20061004       0.017549
   14593    20061005      -0.007296
   14593    20061006      -0.008152
   14593    20061009       0.005524
   14593    20061010      -0.010988
   14593    20061011      -0.007858
   14593    20061012       0.027721
   14593    20061013      -0.003189
   14593    20061016       0.005065
   14593    20061017      -0.014721
   14593    20061018       0.003231
   14593    20061019       0.059842
   14593    20061020       0.012153
   14593    20061023       0.018887
   14593    20061024      -0.005033
   14593    20061025       0.007773
   14593    20061026       0.006244
   14593    20061027      -0.021657
   14593    20061030       0.000124
   14593    20061031       0.008207
   14593    20061101      -0.023680
   14593    20061102      -0.002274
   14593    20061103      -0.008736
   14593    20061106       0.018138
   14593    20061107       0.010036
   14593    20061108       0.024096
   14593    20061109       0.010794
   14593    20061110      -0.002640
   14593    20061113       0.014798
   14593    20061114       0.007706
   14593    20061115      -0.011176
   14593    20061116       0.018560
   14593    20061117       0.002803
   14593    20061120       0.007222
   14593    20061121       0.024633
   14593    20061122       0.019300
   14593    20061124       0.014616
   14593    20061127      -0.022809
   14593    20061128       0.025352
   14593    20061129      -0.000109
   14593    20061130      -0.001525
   14593    20061201      -0.003709
   14593    20061204      -0.002190
   14593    20061205       0.001646
   14593    20061206      -0.015777
   14593    20061207      -0.031059
   14593    20061208       0.014017
   14593    20061211       0.005552
   14593    20061212      -0.029408
   14593    20061213       0.033782
   14593    20061214      -0.005615
   14593    20061215      -0.009373
   14593    20061218      -0.025650
   14593    20061219       0.009828
   14593    20061220      -0.017958
   14593    20061221      -0.021944
   14593    20061222      -0.008444
   14593    20061226      -0.008394
   14593    20061227       0.000123
   14593    20061228      -0.007973
   14593    20061229       0.049091
   14593    20070103      -0.012258
   14593    20070104       0.022196
   14593    20070105      -0.007121
   14593    20070108       0.004938
   14593    20070109       0.083070
   14593    20070110       0.047856
